7263, 200
j : 7684
j : 3358
j : 8178
j : 3341
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 21
j : 378
j : 1985
j : 4629
j : 5222
j : 7410
j : 1156
j : 7531
j : 7667
j : 5088
j : 3688
j : 640
j : 7250
j : 4765
j : 346
j : 3301
j : 8268
j : 5208
j : 529
j : 1478
j : 6978
j : 8716
j : 9530
j : 901
j : 1118
j : 2576
j : 396
j : 8738
j : 8499
j : 3235
j : 8572
j : 3380
j : 4553
j : 5471
j : 7369
j : 8636
j : 3090
j : 5684
j : 3929
j : 9820
j : 5022
j : 2593
j : 124
j : 9077
j : 585
j : 5440
j : 6092
j : 4953
j : 3287
j : 6672
j : 8912
j : 4641
j : 8114
j : 4135
j : 4118
j : 6503
j : 9331
j : 827
j : 3034
j : 8989
j : 8160
j : 9517
j : 6899
j : 5737
j : 8366
j : 4238
j : 2804
j : 4969
j : 3947
j : 1772
j : 1934
j : 1438
j : 6352
j : 7127
j : 2456
j : 1812
j : 2664
j : 2456
j : 1812
j : 7127
j : 6352
j : 1438
j : 7222
j : 9340
j : 9634
j : 9157
j : 1766
j : 2541
j : 405
j : 5192
j : 7647
j : 6546
j : 5601
j : 6370
j : 7666
j : 6887
j : 4543
j : 150
j : 4854
j : 4422
j : 5826
j : 28
j : 9060
j : 7208
j : 3433
j : 8734
j : 5188
j : 2806
j : 5848
j : 845
j : 4148
j : 3168
j : 84
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 7606
j : 2727
j : 8431
j : 6021
j : 2934
j : 3018
j : 6916
j : 5903
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 8481
j : 4744
j : 5710
j : 7938
j : 897
j : 2084
j : 3594
j : 6651
j : 4798
j : 5827
j : 9540
j : 9376
j : 4812
j : 1603
j : 1741
j : 6579
j : 1681
j : 1578
j : 2352
j : 6898
j : 8307
j : 7303
j : 1091
j : 2020
j : 4418
j : 2652
j : 5465
j : 2592
j : 998
j : 8787
j : 3451
j : 7733
j : 7387
j : 5316
j : 2620
j : 7864
j : 1116
j : 3922
j : 5928
j : 2390
j : 8659
j : 6367
j : 6733
j : 9004
j : 1381
j : 4294
j : 1346
j : 7319
j : 9264
j : 2879
j : 333
j : 2717
j : 246
j : 2830
j : 5983
j : 7763
j : 1347
j : 7110
j : 825
j : 6812
j : 879
j : 7599
j : 7844
j : 4858
j : 7025
j : 4858
j : 7844
j : 7599
j : 8396
j : 8631
j : 3035
j : 2584
j : 8332
j : 9132
j : 9651
j : 7691
j : 1628
j : 7650
j : 3214
j : 8337
j : 3481
j : 7133
j : 3454
j : 1009
j : 3632
j : 3038
j : 9905
j : 4859
j : 5857
j : 6376
j : 9105
j : 5319
j : 18
j : 7381
j : 3316
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3358
j : 8178
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 4705
j : 2972
j : 1412
j : 4892
j : 9308
j : 2345
j : 5917
j : 3204
j : 9854
j : 5453
j : 1669
j : 5254
j : 2453
j : 9295
j : 484
j : 9356
j : 5491
j : 8719
j : 4005
j : 5660
j : 1320
j : 8222
j : 6040
j : 2929
j : 6357
j : 42
j : 5455
j : 8963
j : 7753
j : 693
j : 1590
j : 5211
j : 5783
j : 8492
j : 4154
j : 7594
j : 7098
j : 9970
j : 696
j : 171
j : 7251
j : 1003
j : 774
j : 4800
j : 6118
j : 9809
j : 2946
j : 9661
j : 1549
j : 5042
j : 9612
j : 980
j : 213
j : 112
j : 4884
j : 1619
j : 646
j : 5478
j : 6225
j : 1041
j : 242
j : 647
j : 9325
j : 5687
j : 6341
j : 6453
j : 1268
j : 4579
j : 9437
j : 5924
j : 6217
j : 5913
j : 1069
j : 3728
j : 8651
j : 4975
j : 5965
j : 3939
j : 2767
j : 3142
j : 7863
j : 732
j : 2049
j : 4735
j : 662
j : 8882
j : 2147
j : 7022
j : 9417
j : 8119
j : 1511
j : 4091
j : 8096
j : 6394
j : 3126
j : 4359
j : 9490
j : 9193
j : 535
j : 9193
j : 9490
j : 4359
j : 6394
j : 2277
j : 5566
j : 5583
j : 3753
j : 9993
j : 612
j : 2235
j : 4947
j : 9
j : 2926
j : 6739
j : 4987
j : 7226
j : 7083
j : 7812
j : 1854
j : 8012
j : 8439
j : 3218
j : 3588
j : 718
j : 7601
j : 684
j : 9671
j : 2173
j : 2537
j : 4204
j : 4137
j : 9742
j : 257
j : 805
j : 5102
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 140
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 8796
j : 8036
j : 4287
j : 6116
j : 5565
j : 9408
j : 7540
j : 2033
j : 3141
j : 2033
j : 4126
j : 5897
j : 9112
j : 2667
j : 9937
j : 743
j : 9592
j : 8777
j : 8977
j : 3671
j : 2957
j : 6871
j : 1244
j : 7152
j : 3535
j : 8223
j : 303
j : 4195
j : 7695
j : 1585
j : 3772
j : 616
j : 754
j : 1792
j : 3491
j : 7469
j : 6478
j : 2289
j : 4487
j : 6279
j : 9017
j : 5872
j : 7606
j : 2727
j : 8431
j : 6021
j : 2934
j : 3018
j : 6916
j : 5903
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3358
j : 8178
j : 3341
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 21
j : 378
j : 1985
j : 4629
j : 5222
j : 7410
j : 1156
j : 7531
j : 7667
j : 5088
j : 3688
j : 640
j : 7250
j : 4765
j : 346
j : 3301
j : 8268
j : 5208
j : 529
j : 1478
j : 6978
j : 8716
j : 9530
j : 901
j : 1118
j : 2576
j : 396
j : 8738
j : 8499
j : 3235
j : 8572
j : 3380
j : 4553
j : 5471
j : 7369
j : 8636
j : 3090
j : 5684
j : 3929
j : 9820
j : 5022
j : 2593
j : 124
j : 9077
j : 585
j : 5440
j : 6092
j : 2429
j : 2624
j : 2429
j : 6092
j : 5440
j : 585
j : 9077
j : 8109
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 6310
j : 1133
j : 5755
j : 6170
j : 7457
j : 4703
j : 7019
j : 7472
j : 3231
j : 1624
j : 8460
j : 7212
j : 6614
j : 2064
j : 3242
j : 7483
j : 2989
j : 8783
j : 1725
j : 4324
j : 9057
j : 5503
j : 1715
j : 7793
j : 4300
j : 8347
j : 4270
j : 1439
j : 4768
j : 3697
j : 9245
j : 298
j : 6280
j : 581
j : 6508
j : 12
j : 1187
j : 2009
j : 2982
j : 5753
j : 7299
j : 4173
j : 6328
j : 2942
j : 7588
j : 1582
j : 9002
j : 7586
j : 2363
j : 4223
j : 8740
j : 5656
j : 2145
j : 3321
j : 9865
j : 2335
j : 7853
j : 6571
j : 6663
j : 2182
j : 8124
j : 6767
j : 6281
j : 5095
j : 1935
j : 8400
j : 3392
j : 1048
j : 9027
j : 6445
j : 6897
j : 3389
j : 6735
j : 8061
j : 8815
j : 7320
j : 6265
j : 4094
j : 160
j : 9546
j : 4823
j : 2068
j : 4823
j : 4732
j : 160
j : 7128
j : 664
j : 209
j : 1315
j : 6808
j : 7671
j : 8442
j : 2908
j : 461
j : 4150
j : 654
j : 1950
j : 3984
j : 177
j : 8570
j : 6649
j : 4277
j : 9201
j : 7885
j : 817
j : 643
j : 2182
j : 9425
j : 6663
j : 6571
j : 2335
j : 269
j : 9865
j : 3321
j : 1241
j : 35
j : 949
j : 2964
j : 9282
j : 2618
j : 2121
j : 9111
j : 4085
j : 9930
j : 9232
j : 6864
j : 8457
j : 9081
j : 2212
j : 5315
j : 7100
j : 627
j : 7437
j : 7406
j : 7765
j : 8601
j : 5682
j : 2144
j : 6178
j : 6784
j : 2460
j : 8256
j : 1813
j : 5985
j : 3832
j : 28
j : 9060
j : 7208
j : 3433
j : 8734
j : 5188
j : 2806
j : 5848
j : 845
j : 4148
j : 3168
j : 84
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 8109
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 3341
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 4705
j : 2972
j : 1412
j : 4892
j : 9308
j : 2345
j : 5917
j : 3204
j : 9854
j : 5453
j : 1669
j : 5254
j : 2453
j : 9295
j : 484
j : 9356
j : 6935
j : 8719
j : 4005
j : 5660
j : 1320
j : 8222
j : 6040
j : 2929
j : 6357
j : 42
j : 5455
j : 8963
j : 7753
j : 693
j : 1590
j : 5211
j : 5783
j : 8492
j : 4154
j : 7594
j : 7098
j : 9970
j : 696
j : 171
j : 7251
j : 1003
j : 774
j : 4800
j : 6118
j : 9809
j : 2946
j : 9661
j : 1549
j : 5042
j : 9612
j : 980
j : 213
j : 112
j : 4884
j : 1619
j : 646
j : 5478
j : 6225
j : 1041
j : 242
j : 647
j : 5488
j : 9325
j : 5687
j : 6341
j : 6453
j : 1268
j : 4579
j : 9437
j : 5924
j : 4579
j : 9161
j : 9422
j : 7254
j : 8635
j : 4314
j : 481
j : 4640
j : 2740
j : 4907
j : 3830
j : 3782
j : 8183
j : 112
j : 9313
j : 2183
j : 5533
j : 3823
j : 9661
j : 159
j : 9809
j : 6743
j : 3339
j : 9204
j : 6758
j : 3760
j : 7998
j : 123
j : 5463
j : 7691
j : 1628
j : 7650
j : 3214
j : 8337
j : 3481
j : 7133
j : 3454
j : 1009
j : 3632
j : 3038
j : 9905
j : 4859
j : 5857
j : 6376
j : 9105
j : 5319
j : 18
j : 7381
j : 3316
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 140
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 6310
j : 1133
j : 5755
j : 6170
j : 7457
j : 4703
j : 7019
j : 7472
j : 3231
j : 1624
j : 8460
j : 7212
j : 6614
j : 2064
j : 3242
j : 7483
j : 2989
j : 8783
j : 1725
j : 4324
j : 430
j : 9249
j : 4324
j : 1725
j : 6222
j : 1911
j : 740
j : 8106
j : 5019
j : 3907
j : 6540
j : 8649
j : 4617
j : 5635
j : 6064
j : 8411
j : 4618
j : 3139
j : 869
j : 950
j : 7616
j : 9890
j : 7180
j : 5955
j : 5405
j : 6128
j : 9572
j : 3255
j : 7379
j : 7790
j : 4964
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8407
j : 197
j : 8101
j : 8591
j : 8903
j : 9616
j : 6048
j : 808
j : 3016
j : 6010
j : 6048
j : 9260
j : 9616
j : 8903
j : 8591
j : 6334
j : 8101
j : 8407
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 140
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 7296
j : 7307
j : 9087
j : 2809
j : 7806
j : 7216
j : 6481
j : 5793
j : 8284
j : 972
j : 8392
j : 4617
j : 9881
j : 1605
j : 7881
j : 1487
j : 4063
j : 6022
j : 8691
j : 8804
j : 818
j : 4382
j : 6104
j : 1182
j : 6205
j : 3601
j : 2570
j : 8951
j : 592
j : 5492
j : 3754
j : 5621
j : 1266
j : 3832
j : 28
j : 5826
j : 6501
j : 4422
j : 1648
j : 150
j : 4543
j : 6887
j : 6370
j : 5601
j : 7647
j : 6546
j : 5192
j : 6513
j : 405
j : 5192
j : 7647
j : 6546
j : 5601
j : 6370
j : 7666
j : 6887
j : 4543
j : 150
j : 4854
j : 4422
j : 5826
j : 28
j : 9060
j : 7208
j : 3433
j : 8734
j : 5188
j : 2806
j : 5848
j : 845
j : 4148
j : 3168
j : 84
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 8796
j : 8036
j : 4287
j : 6116
j : 5565
j : 7565
j : 8130
j : 6611
j : 5057
j : 3457
j : 9372
j : 6618
j : 3976
j : 8057
j : 541
j : 7826
j : 1213
j : 4918
j : 114
j : 5804
j : 6348
j : 2694
j : 5308
j : 7288
j : 5624
j : 9086
j : 8773
j : 7256
j : 1466
j : 8228
j : 4828
j : 8367
j : 6968
j : 6468
j : 2325
j : 2983
j : 9486
j : 471
j : 2655
j : 6117
j : 4566
j : 6210
j : 8403
j : 801
j : 1197
j : 9168
j : 4559
j : 5904
j : 8317
j : 3106
j : 9759
j : 8129
j : 6779
j : 7516
j : 7375
j : 2324
j : 3636
j : 885
j : 4787
j : 1236
j : 4034
j : 8443
j : 7185
j : 8612
j : 4388
j : 4712
j : 91
j : 4311
j : 1758
j : 5865
j : 3086
j : 9593
j : 8961
j : 3762
j : 2310
j : 3416
j : 6985
j : 443
j : 4902
j : 4218
j : 450
j : 5931
j : 509
j : 1176
j : 2410
j : 5986
j : 8027
j : 7538
j : 2952
j : 6147
j : 9124
j : 7758
j : 5756
j : 9867
j : 5008
j : 5754
j : 5470
j : 2058
j : 2610
j : 6439
j : 5084
j : 8867
j : 3834
j : 2120
j : 2266
j : 5741
j : 3081
j : 8943
j : 8503
j : 4529
j : 2868
j : 8749
j : 6737
j : 9685
j : 4517
j : 9164
j : 1912
j : 7729
j : 2056
j : 1816
j : 9603
j : 7987
j : 6407
j : 7822
j : 830
j : 1391
j : 2619
j : 6655
j : 4282
j : 3563
j : 9586
j : 7801
j : 7848
j : 4106
j : 9336
j : 6920
j : 2550
j : 875
j : 474
j : 2007
j : 3108
j : 5590
j : 999
j : 5671
j : 8442
j : 2908
j : 461
j : 4150
j : 654
j : 1950
j : 3984
j : 177
j : 8570
j : 6649
j : 4277
j : 9201
j : 7885
j : 817
j : 643
j : 2182
j : 9425
j : 6663
j : 6571
j : 2335
j : 269
j : 9865
j : 3321
j : 1241
j : 35
j : 949
j : 2964
j : 9282
j : 2618
j : 2121
j : 9111
j : 4085
j : 9930
j : 9232
j : 6864
j : 8457
j : 9081
j : 2212
j : 5315
j : 7100
j : 627
j : 7437
j : 7406
j : 7765
j : 8601
j : 5682
j : 2144
j : 6178
j : 6784
j : 2460
j : 8256
j : 1813
j : 5985
j : 3832
j : 28
j : 9060
j : 7208
j : 3433
j : 8734
j : 5188
j : 2806
j : 5848
j : 845
j : 4148
j : 3168
j : 84
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
